Player,Banker,Result
"8♥️, 4♥️","3♠️, 6♦️",B
"A♦️, 6♦️","2♠️, J♥️, J♥️",P
"2♦️, 4♥️","K♠️, 5♥️, K♠️",P
"J♥️, 7♠️","6♥️, 7♣️, 4♦️",T
"6♥️, 9♣️","5♥️, 3♠️",B
"A♠️, J♠️, 5♥️","10♠️, 2♦️, 6♦️",B
"3♦️, 9♦️, 6♥️","4♦️, K♠️, A♣️",P
"9♠️, A♦️, K♣️","7♣️, J♣️",B
"A♦️, 6♥️","7♥️, J♣️",T
"A♦️, Q♦️, A♠️","7♦️, 4♥️, 9♥️",P
"5♣️, 4♦️","4♣️, 7♠️",P
"8♥️, 7♦️, A♥️","8♦️, 2♠️, 10♠️",P
"9♣️, Q♠️","6♥️, 2♥️",T
"A♠️, A♠️, 4♣️","J♥️, 3♦️, 9♣️",P
"J♠️, 5♣️","3♥️, 5♦️",B
"2♦️, 5♦️","K♣️, 10♥️, 8♥️",B
"3♥️, J♦️, 8♦️","4♦️, 9♦️",B
"7♦️, J♦️","A♣️, 3♦️, 8♥️",P
"10♦️, 10♣️, J♠️","7♣️, 7♥️",B
"5♠️, 8♥️, Q♥️","10♦️, 6♣️",B
"4♦️, 3♠️","2♦️, 6♦️",B
"2♠️, 5♠️","5♦️, K♦️, 5♦️",P
"2♦️, A♦️, 6♣️","3♥️, 7♣️, K♠️",P
"8♦️, 5♥️, 7♣️","8♣️, 7♣️, 5♥️",T
"6♣️, J♦️","6♦️, 5♥️, A♦️",P
"Q♣️, K♠️, 10♥️","10♠️, 4♦️",B
"4♦️, 10♥️","7♠️, A♠️",B
"2♠️, 8♠️, 5♠️","7♥️, K♠️",B
"2♥️, 3♥️, 9♠️","A♣️, 4♣️",B
"6♦️, 2♣️","2♥️, 2♦️",P
"A♣️, 9♦️, Q♣️","Q♣️, K♠️, A♠️",B
"6♦️, 2♣️","6♦️, Q♥️",P
"K♣️, 9♥️","4♥️, K♣️",P
"A♠️, 5♣️","J♠️, 2♦️, 4♣️",T
"10♥️, J♦️, 6♥️","3♠️, A♦️, 2♦️",T
"10♣️, 4♥️, 8♥️","7♦️, 4♠️, A♦️",T
"6♣️, 4♥️","2♣️, 7♦️",B
"J♣️, A♣️, A♦️","8♦️, 2♦️, Q♠️",P
"Q♠️, 7♣️","9♥️, 6♠️, Q♦️",P
"8♦️, 6♦️, 3♣️","J♣️, 4♠️, Q♥️",P
"K♣️, 5♠️, J♦️","2♥️, A♥️, J♠️",P
"3♥️, 6♦️","4♥️, 6♣️",P
"6♥️, 9♣️, 5♥️","2♦️, 4♠️",B
"3♦️, 5♣️","8♦️, 4♣️",P
"3♥️, 9♥️, 6♣️","5♠️, A♥️, 5♠️",P
"8♦️, 10♠️","K♦️, A♣️",P
"9♣️, A♠️, A♣️","9♠️, 4♠️, J♣️",B
"2♠️, A♠️, 5♠️","J♣️, J♦️, A♣️",P
"2♠️, 2♣️","8♠️, Q♥️",B
"4♦️, 9♥️, 10♥️","2♥️, 2♦️",B
"6♣️, K♥️","Q♣️, 5♥️, 7♦️",P
"2♠️, 8♣️, 10♦️","2♥️, 9♣️, 6♦️",B
"6♥️, 9♠️, 6♥️","5♣️, 10♠️, Q♥️",B
"3♣️, 10♦️, 4♥️","Q♣️, J♦️, J♣️",P
"7♣️, 4♠️","6♥️, 3♥️",B
"8♦️, 9♣️","K♠️, 7♠️",T
"4♦️, 7♥️, Q♥️","10♦️, A♥️, J♦️",T
"Q♥️, J♠️, J♦️","5♠️, 9♣️",B
"9♥️, 7♣️","5♦️, 5♥️, 10♦️",P
"K♠️, A♥️","8♦️, Q♥️",B
"J♦️, A♠️, Q♦️","J♠️, 3♣️, 6♣️",B
"7♦️, J♦️","6♠️, 3♦️",B
"J♥️, 2♠️","8♦️, 10♦️",B
"8♠️, 10♦️","2♥️, 6♠️",T
"7♦️, J♠️","9♣️, A♥️, Q♦️",P
"7♠️, A♠️","9♥️, 7♥️",P
"3♦️, J♦️, J♦️","10♣️, 4♥️",B
"9♣️, 6♥️, J♦️","4♠️, Q♦️",P
"5♦️, J♦️, A♥️","Q♥️, 2♥️, J♠️",P
"A♠️, A♦️, A♥️","4♥️, 8♥️, K♦️",P
"8♣️, 2♣️, K♥️","4♠️, J♥️",B
"6♥️, 2♦️","8♥️, J♠️",T
"8♠️, 10♠️","10♣️, 10♦️",P
"K♦️, 9♥️","9♦️, 3♣️",P
"6♥️, 10♦️","3♣️, A♠️, 6♠️",P
"4♣️, 4♥️","9♥️, 4♦️",P
"5♣️, A♣️","4♣️, 3♦️",B
"2♦️, 9♣️, 5♣️","10♣️, 3♠️, 3♥️",T
"5♥️, J♦️, J♥️","2♠️, 5♦️",B
"3♥️, 7♥️","9♠️, 10♣️",B
"9♣️, 2♥️","8♠️, J♠️",B
"Q♠️, J♦️, 6♦️","6♥️, 8♦️, 3♦️",B
"J♠️, J♦️, 3♥️","A♠️, J♣️, 9♣️",P
"J♣️, 6♠️","A♠️, 9♥️, Q♥️",P
"9♥️, 7♦️","K♣️, J♦️, 6♣️",T
"A♠️, 9♣️, 9♠️","4♦️, A♦️",P
"2♠️, 2♦️, K♦️","K♥️, 3♥️, J♣️",P
"2♣️, 4♦️","K♠️, 6♣️",T
"5♥️, 8♥️","10♥️, 8♠️",B
"Q♠️, 6♠️","4♥️, 6♥️, 6♣️",T
"J♦️, 5♠️, 4♣️","K♥️, 7♣️",P
"J♣️, 9♥️","2♠️, 5♣️",P
"A♣️, 6♠️","7♠️, 10♦️",T
"5♠️, 2♦️","6♠️, A♠️",T
"4♣️, K♦️","8♠️, A♦️",B
"Q♥️, 8♠️","5♥️, 7♦️",P
"8♠️, Q♥️","10♥️, 6♣️",P
"3♠️, A♠️, 3♠️","10♦️, 2♠️, 3♠️",P
"8♣️, K♠️","9♥️, 7♥️",P
"9♥️, 7♠️","8♦️, 10♣️",B
"6♦️, 4♣️","9♣️, 10♣️",B
"K♥️, 8♦️","9♣️, 8♠️",P
"10♦️, Q♠️","6♣️, 3♣️",B
"Q♠️, 8♣️","10♠️, 4♣️",P
"2♠️, A♠️, Q♦️","5♥️, 8♠️, 3♣️",B
"Q♣️, 4♦️, A♣️","6♥️, 6♠️, 6♥️",B
"4♦️, 8♣️","Q♣️, 9♥️",B
"7♣️, 2♥️","J♦️, Q♠️",P
"J♦️, 8♥️","8♥️, 10♥️",T
"A♥️, 6♣️","8♥️, J♦️",B
"9♠️, 8♠️","4♣️, Q♦️, 10♥️",P
"J♣️, A♣️, 5♥️","Q♠️, 3♠️, K♠️",P
"Q♥️, A♣️, 4♠️","7♦️, 3♥️, J♦️",P
"3♥️, Q♠️","4♦️, 4♦️",B
"A♥️, 9♠️, 8♦️","A♠️, 4♣️",P
"6♦️, 2♦️","10♠️, A♣️",P
"5♣️, 3♥️","Q♦️, J♠️",P
"5♠️, 4♦️","8♥️, 3♣️",P
"J♦️, J♠️, 9♥️","A♥️, 3♣️",P
"4♥️, Q♠️, 2♠️","2♣️, K♠️, 4♥️",T
"7♣️, K♣️","Q♦️, A♦️, A♦️",P
"2♦️, 3♠️, 10♥️","8♠️, 3♥️, 5♦️",B
"3♦️, Q♥️, A♠️","K♠️, J♥️, 5♦️",B
"6♠️, Q♦️","5♠️, J♣️, J♣️",P
"5♦️, 5♣️, 4♦️","2♣️, 9♠️, A♦️",P
"3♣️, A♦️, 4♣️","7♦️, 4♦️, 4♦️",P
"3♣️, 9♣️, 10♣️","K♦️, 6♦️",B
"10♦️, 2♥️, 10♦️","4♠️, J♥️",B
"6♦️, Q♦️","10♦️, Q♥️, Q♦️",P
"3♥️, 6♠️","8♦️, J♥️",T
"K♥️, 8♦️","A♠️, 6♥️",P
"8♠️, 9♠️","K♦️, 5♦️, 8♠️",P
"K♠️, 3♣️, 2♥️","Q♥️, A♣️, Q♣️",P
"8♥️, Q♦️","7♥️, 5♠️",P
"7♠️, 4♣️, Q♦️","3♦️, 2♣️",B
"Q♣️, 9♠️","2♠️, 8♣️",P
"8♥️, 2♠️, 6♦️","A♠️, 6♣️",B
"9♠️, K♠️","6♥️, J♦️",P
"5♠️, 4♦️","Q♠️, 8♦️",T
"5♣️, 8♦️","A♦️, 8♦️",B
"4♣️, Q♠️, 5♥️","6♥️, 7♠️, 10♥️",P
"J♠️, 7♣️","Q♥️, K♦️, 6♣️",P
"8♠️, 10♦️","8♦️, 8♦️",P
"2♣️, J♦️, 10♠️","4♠️, 6♦️, K♣️",P
"6♠️, A♥️","10♦️, J♣️, K♣️",P
"A♦️, 8♦️","8♥️, 5♥️",P
"K♥️, 4♥️, 8♠️","A♣️, 6♣️",B
"8♥️, 3♣️, 8♠️","8♥️, 6♠️",P
"3♥️, A♠️, 7♣️","A♥️, A♦️, J♦️",B
"5♦️, 10♥️, 7♥️","J♣️, 5♣️, 9♠️",B
"9♣️, 8♠️","J♠️, 5♣️, Q♣️",P
"8♦️, 3♥️, 5♣️","Q♦️, 10♠️, 7♦️",B
"6♦️, 3♦️","A♦️, 5♣️",P
"10♠️, 8♠️","4♥️, 6♠️",P
"9♣️, 9♠️","2♠️, K♠️",P
"2♥️, 7♠️","2♣️, 4♣️",P
"6♠️, 6♠️, 3♦️","K♦️, 3♥️, 10♦️",P
"K♠️, 8♥️","K♠️, 10♦️",P
"A♥️, 8♥️","Q♥️, 7♦️",P
"7♦️, 2♥️","Q♥️, A♦️",P
"9♥️, K♣️","J♦️, 6♠️",P
"J♦️, 7♦️","6♥️, 4♥️, J♣️",P
"10♦️, 3♦️, 3♥️","2♣️, 2♥️, Q♦️",P
"6♠️, 9♠️, Q♥️","7♠️, 3♦️, A♠️",P
"3♥️, 4♠️","3♣️, 9♣️, 6♦️",B
"6♦️, 5♥️, A♥️","Q♥️, 7♦️",B
"5♠️, K♣️, 3♠️","J♦️, A♠️, 2♠️",P
"3♠️, Q♠️, 10♥️","7♣️, J♦️",B
"4♣️, Q♠️, 3♦️","7♣️, K♥️",T
"10♥️, K♥️, J♠️","6♦️, 4♥️, 8♠️",B
"2♠️, 6♠️","2♠️, 6♥️",T
"8♥️, 8♥️","Q♥️, 4♥️, 5♣️",B
"4♥️, J♣️, 3♥️","A♦️, 3♦️, 8♦️",P
"2♦️, 6♦️","3♥️, 4♣️",P
"7♠️, 8♣️","K♦️, 8♣️",B
"8♥️, J♥️","A♦️, 2♦️",P
"6♥️, K♥️","9♦️, A♥️, K♦️",P
"4♦️, 4♥️","J♣️, 8♦️",T
"7♥️, 10♥️","J♥️, 7♥️",T
"3♥️, 4♠️","9♥️, Q♣️",B
"9♠️, J♣️","A♥️, 7♣️",T
"10♥️, 10♣️, K♣️","Q♥️, 6♥️",B
"6♠️, J♣️","3♦️, J♣️, 7♣️",P
"4♠️, 10♦️","5♠️, 4♣️",B
"J♥️, K♦️, A♦️","7♦️, 8♣️",B
"4♣️, 8♦️, 2♣️","3♦️, K♣️, Q♥️",P
"9♥️, 2♥️, J♣️","6♥️, 8♣️",B
"2♣️, 2♥️, A♠️","A♣️, 6♣️",B
"7♣️, 3♠️, 4♥️","6♣️, 8♣️, 3♥️",B
"4♣️, 8♠️, K♥️","7♦️, 3♥️, J♥️",P
"5♠️, J♠️, 9♠️","J♠️, 6♠️",B
"J♣️, A♥️, 3♥️","6♣️, K♣️",B
"K♠️, Q♣️, 8♥️","9♠️, 6♣️",P
"J♣️, 10♣️","5♥️, 4♣️",B
"4♦️, 5♦️","Q♣️, 3♣️",P
"5♥️, Q♦️, 6♦️","A♣️, K♦️, 7♦️",B
"3♥️, 5♥️","8♥️, J♥️",T
"10♥️, J♠️, 7♥️","4♣️, 6♠️, 9♥️",B
"6♠️, J♠️","2♣️, 6♠️",B
"8♦️, 2♦️, 2♠️","6♥️, 6♠️, 8♣️",P
"9♣️, 4♠️, 5♥️","A♣️, 6♦️",P
"3♠️, 8♠️, 7♦️","K♠️, A♠️, 6♣️",P
"J♦️, Q♦️, 7♠️","7♠️, 3♦️, 9♦️",B
"A♦️, 2♠️, 8♣️","8♥️, 3♣️, 4♠️",B
"9♥️, A♥️, 5♠️","4♦️, 3♠️",B
"10♣️, 7♣️","9♠️, 9♥️",B
"8♦️, K♠️","9♥️, 2♣️",P
"9♥️, 10♦️","A♠️, 7♥️",T
"J♣️, 3♣️, 2♣️","4♦️, 3♠️",B
"8♠️, K♣️","Q♦️, 6♥️",P
"A♣️, 9♣️, 4♦️","6♠️, 10♠️",B
"Q♥️, 3♥️, 7♥️","5♦️, 5♦️, 10♠️",T
"6♠️, 6♥️, 7♥️","K♠️, 6♦️, A♦️",P
"4♠️, 8♠️, K♠️","10♦️, A♠️, Q♥️",P
"7♠️, 9♣️","6♦️, 3♥️",B
"10♥️, 6♠️","J♦️, 6♥️",T
"7♠️, 9♥️","8♣️, 10♦️",B
"8♥️, A♥️","9♠️, 4♦️",P
"8♠️, 10♥️","5♣️, 6♣️",P
"10♣️, Q♣️","5♣️, 3♣️",B
"7♦️, 7♣️, A♣️","2♠️, A♣️, 8♥️",P
"3♠️, 9♦️, A♦️","3♣️, Q♦️, 4♠️",B
"9♦️, 4♥️, J♠️","6♣️, A♣️",B
"2♠️, 10♥️","6♠️, 2♣️",B
"J♦️, J♥️, 9♥️","8♥️, 7♠️",P
"5♠️, 4♠️","3♣️, K♥️",P
"J♣️, 3♥️, A♥️","8♥️, 3♣️, 3♠️",T
"9♦️, 10♠️","7♦️, A♦️",T
"5♦️, 9♦️, 6♦️","Q♠️, 2♠️, 9♥️",B
"7♠️, K♠️","Q♠️, 7♠️",T
"3♥️, 9♣️, J♦️","7♦️, Q♦️",B
"A♠️, Q♠️, 6♥️","3♥️, 3♥️, 3♦️",B
"6♣️, 7♠️, A♣️","9♣️, 2♦️, 10♥️",P
"10♥️, 6♦️","K♠️, 7♦️",B
"6♣️, K♠️","10♣️, J♠️, 4♥️",P
"3♣️, 9♦️, 4♦️","J♣️, 3♣️, Q♦️",P
"8♠️, K♥️","8♥️, 6♥️",P
"Q♣️, Q♠️, 4♦️","Q♠️, 3♠️, K♠️",P
"10♣️, 10♠️, 7♥️","3♦️, A♠️, 10♦️",P
"7♥️, Q♣️","8♦️, 6♦️, J♦️",P
"J♥️, 4♣️, 8♣️","3♠️, 4♦️",B
"A♦️, J♣️","4♣️, 4♥️",B
"10♦️, 5♦️, 3♦️","5♦️, 8♣️, A♥️",P
"2♣️, 6♣️","10♠️, Q♣️",P
"Q♦️, 9♥️","Q♦️, 2♦️",P
"9♣️, 2♠️, 2♥️","3♣️, 10♥️, Q♦️",T
"8♥️, 5♦️, K♦️","4♥️, 9♣️, Q♣️",T
"9♣️, 6♥️, 5♣️","9♠️, 7♣️",B
"6♠️, 4♠️, J♠️","K♣️, 7♦️",B
"4♣️, J♦️, 10♣️","6♦️, 8♠️",T
"3♣️, K♣️, K♠️","6♥️, 5♣️, 6♣️",B
"Q♥️, 6♥️","7♦️, 2♣️",B
"6♠️, 9♣️, Q♣️","2♦️, K♠️, 2♥️",P
"2♠️, K♦️, 8♥️","9♠️, 4♣️",B
"2♠️, J♥️","J♦️, 9♣️",B
"4♣️, J♦️, 5♣️","10♦️, A♥️, 5♦️",P
"9♠️, 7♠️","9♥️, A♥️, 6♥️",T
"2♣️, A♥️, 6♣️","2♣️, Q♠️, 6♠️",P
"7♣️, 7♣️","5♥️, 4♠️",B
"2♠️, 7♠️","5♦️, 3♥️",T
"J♣️, 3♦️, 2♠️","Q♣️, 7♦️",B
"J♠️, 5♠️, J♠️","2♣️, 4♣️",B
"5♣️, Q♣️, A♣️","K♦️, A♦️, K♠️",P
"9♣️, 7♠️","9♥️, 9♠️",B
"5♦️, 8♠️","A♥️, 7♠️",B
"10♦️, 7♦️","Q♠️, 2♠️, 8♣️",P
"Q♥️, K♦️, Q♥️","10♠️, 5♠️",B
"3♦️, 8♠️, 6♣️","Q♦️, K♥️, 5♦️",P
"9♥️, 8♠️","3♥️, 7♠️, 3♦️",P
"9♦️, Q♠️","7♠️, A♠️",T
"10♦️, 4♣️, 6♠️","10♠️, 5♦️, A♦️",B
"A♥️, 3♥️, 10♥️","6♠️, 6♣️, A♣️",P
"7♠️, 9♣️","6♦️, 7♦️, Q♦️",P
"Q♣️, 10♣️, 10♣️","3♥️, 3♠️",B
"6♣️, 2♠️","7♣️, 8♠️",P
"6♣️, Q♣️","6♦️, 3♥️",B
"2♦️, K♦️","Q♦️, 9♠️",B
"Q♣️, 10♥️, K♦️","3♦️, Q♥️, 2♠️",B
"9♠️, 7♠️","Q♥️, 10♦️, 4♣️",P
"3♥️, 5♣️","3♥️, 4♦️",P
"Q♥️, 5♦️, J♠️","J♠️, Q♣️, 5♠️",T
"10♠️, 3♠️, K♣️","K♥️, 10♥️, K♦️",P
"K♠️, 5♣️, Q♣️","6♦️, 5♣️, 4♣️",T
"6♣️, 4♥️, J♣️","6♥️, A♣️",B
"J♣️, 10♠️, 4♥️","5♠️, 10♦️, 5♦️",P
"8♠️, 3♥️, 10♠️","2♥️, 2♥️",B
"7♠️, 3♥️","8♠️, 10♠️",B
"Q♣️, A♠️, 3♥️","A♦️, 2♥️, 7♠️",P
"J♦️, 5♥️, 2♣️","2♠️, 3♠️, J♣️",P
"2♠️, K♥️, 7♠️","3♠️, 10♠️, 10♣️",P
"10♣️, 4♣️","9♣️, 10♣️",B
"2♣️, Q♦️","J♥️, 8♦️",B
"2♥️, A♥️, 3♦️","9♣️, 5♥️, 7♦️",P
"4♠️, Q♥️, Q♣️","7♦️, K♥️",B
"5♥️, A♣️","Q♠️, Q♣️, 9♥️",B
"3♠️, J♠️, 8♣️","6♣️, 8♣️",B
"K♠️, 8♦️","5♥️, 8♠️",P
"6♣️, Q♣️","2♠️, K♠️, 8♦️",P
"K♠️, 5♣️, 5♦️","2♠️, J♦️, 7♣️",B
"7♦️, 7♣️, A♦️","Q♦️, 7♠️",B
"5♥️, 2♥️","2♦️, 8♦️, 8♦️",B
"A♠️, J♦️, 3♦️","5♠️, Q♠️",B
"3♦️, 7♥️, 3♦️","J♠️, A♣️, 10♦️",P
"J♥️, 9♥️","J♠️, 9♦️",T
"J♠️, Q♦️, 9♦️","A♣️, 4♦️",P
"A♥️, 6♠️","3♦️, 7♣️, 2♠️",P
"7♠️, 9♥️","10♦️, 10♠️, 7♣️",B
"Q♣️, Q♠️, 8♦️","5♠️, 2♠️",P
"7♥️, 6♦️, Q♥️","Q♠️, A♦️, K♥️",P
"6♣️, 7♠️, J♣️","5♠️, K♠️",B
"9♥️, 4♠️","Q♥️, 8♠️",B
"7♥️, 6♥️, 7♣️","3♠️, 7♦️, 2♣️",B
"J♣️, 7♠️","3♦️, J♦️, K♥️",P
"5♦️, K♥️, K♠️","7♦️, 3♦️, 2♦️",P
"9♥️, 7♠️","4♥️, Q♣️, 5♦️",B
"6♥️, 7♦️","10♠️, 9♥️",B
"5♠️, 2♦️","10♠️, 9♦️",B
"A♣️, K♦️, J♥️","7♣️, 10♥️",B
"J♦️, 4♣️, 6♠️","2♦️, A♥️, 10♥️",B
"Q♦️, K♥️, Q♣️","3♠️, 2♠️",B
"K♦️, 9♠️","Q♠️, 6♦️",P
"J♦️, K♥️, Q♥️","8♠️, 8♦️",B
"8♠️, 6♣️, 10♥️","K♠️, Q♥️, J♠️",P
"9♥️, K♣️","5♥️, K♣️",P
"A♦️, Q♥️, 7♥️","9♠️, 3♣️, 9♦️",P
"2♦️, J♦️, 8♣️","2♣️, J♥️, J♣️",B
"6♠️, 3♠️","2♣️, 5♥️",P
"2♣️, 2♥️","8♣️, A♥️",B
"6♦️, 2♣️","10♥️, 2♣️",P
"5♥️, A♠️","3♦️, 8♠️, K♠️",P
"8♣️, 4♣️","A♣️, 7♣️",B
"4♥️, 3♥️","9♣️, 3♥️, 2♠️",P
"Q♠️, 8♥️","Q♦️, 5♥️",P
"5♣️, 6♦️, 2♦️","4♥️, 10♣️, 6♦️",P
"5♦️, K♠️, 8♥️","K♣️, K♥️, 7♥️",B
"5♦️, 6♠️, 2♦️","Q♣️, 2♣️, Q♠️",P
"2♣️, 8♠️","7♥️, 2♠️",B
"A♣️, 3♦️, 9♣️","8♦️, 7♥️",B
"8♣️, 8♣️","J♠️, 6♥️",T
"10♣️, 4♠️","9♣️, K♠️",B
"9♦️, 4♥️","6♣️, 2♥️",B
"K♥️, K♠️","2♥️, 7♥️",B
"3♠️, Q♥️, 3♣️","4♠️, J♣️, 8♠️",P
"6♠️, J♥️","5♥️, 2♦️",B
"10♦️, Q♠️, 3♠️","4♦️, 8♥️, A♦️",T
"8♠️, 10♥️","Q♠️, 8♣️",T
"2♠️, 7♥️","4♣️, 7♣️",P
"8♠️, 2♠️, 7♣️","2♥️, 8♠️, 3♠️",P
"3♣️, A♠️, 4♥️","A♣️, A♥️, 2♠️",P
"2♣️, J♠️, 2♥️","K♥️, Q♥️, Q♠️",P
"2♦️, 4♣️","6♣️, 10♠️",T
"8♣️, J♠️","10♦️, Q♣️",P
"5♥️, 5♥️, 9♣️","3♣️, K♣️, 10♣️",P
"5♣️, 6♣️, 3♣️","3♥️, 10♦️, K♣️",P
"K♣️, 8♠️","2♣️, A♠️",P
"J♦️, 2♠️, 5♦️","5♣️, 8♣️, 7♦️",P
"3♦️, 7♦️, J♠️","Q♣️, 10♠️, 2♠️",B
"A♦️, 10♥️, J♦️","K♥️, 2♠️, 4♦️",B
"2♥️, 6♥️","2♠️, 8♠️",P
"8♣️, J♣️","9♥️, 3♥️",P
"9♥️, 2♣️, 3♥️","10♣️, Q♣️, 7♣️",B
"3♥️, 9♠️","Q♦️, 8♥️",B
"Q♠️, 9♠️","5♥️, 10♣️",P
"Q♣️, 9♥️","2♥️, J♠️",P
"A♦️, 8♠️","2♣️, 4♣️",P
"7♦️, 6♦️","5♣️, 4♠️",B
"Q♦️, K♦️","9♣️, J♦️",B
"Q♥️, 4♦️, 10♣️","J♦️, 4♣️",T
"3♣️, 10♦️","4♠️, 4♦️",B
"8♥️, 7♠️, J♣️","K♥️, 2♥️, 4♠️",B
"4♥️, 8♠️","6♦️, 2♥️",B
"9♣️, 6♣️, 2♥️","8♥️, 3♣️, 3♣️",P
"J♠️, 5♥️, 4♦️","2♠️, 4♦️",P
"3♣️, Q♥️, 6♥️","9♥️, 7♠️, 7♥️",P
"6♣️, J♦️","8♦️, J♠️",B
"4♥️, 9♦️, 2♠️","3♣️, 8♠️, 9♠️",P
"J♠️, 3♠️","8♣️, 10♣️",B
"6♥️, 6♠️, 6♥️","J♠️, 5♣️, 4♥️",B
"2♥️, 8♣️, 6♠️","K♣️, 6♦️, 10♣️",T
"J♥️, A♥️, Q♥️","7♠️, 6♦️, 4♥️",B
"5♦️, 8♥️","K♥️, 9♠️",B
"5♦️, A♣️","Q♣️, 7♠️",B
"2♠️, 3♥️, J♦️","6♥️, 9♠️",T
"6♥️, 4♦️","8♣️, A♠️",B
"9♣️, 7♣️","5♠️, 9♥️, 4♠️",B
"9♠️, 4♥️, Q♣️","2♦️, J♥️, K♣️",P
"A♠️, 5♣️","J♠️, 8♣️",B
"7♦️, K♣️","4♣️, A♣️, Q♥️",P
"K♠️, Q♦️, 3♦️","J♠️, 6♣️",B
"J♠️, 4♠️, 7♥️","9♦️, 7♥️, K♣️",B
"4♥️, A♠️","2♠️, 6♣️",B
"8♠️, 8♥️","J♥️, 5♣️, 8♣️",P
"3♠️, 9♣️","9♥️, K♥️",B
"7♦️, 7♦️, 9♣️","10♦️, 5♦️",B
"5♣️, Q♥️","K♠️, 8♣️",B
"5♣️, 5♣️","Q♦️, 9♦️",B
"6♠️, 9♥️","8♦️, 10♣️",B
"7♥️, 10♣️","9♠️, 2♣️, Q♠️",P
"A♣️, 3♥️, 3♦️","9♦️, 4♥️, A♠️",P
"5♠️, 8♥️, 5♥️","A♠️, Q♥️, 6♦️",P
"8♣️, 9♦️","Q♥️, 3♦️, 5♠️",B
"J♥️, 5♦️, 5♠️","J♦️, 2♠️, A♦️",B
"2♠️, 2♦️, J♠️","7♣️, 5♣️, Q♦️",P
"9♠️, 5♠️, 4♠️","J♥️, J♠️, 3♥️",P
"6♣️, 6♥️, 10♠️","K♥️, A♥️, K♥️",P
"9♦️, Q♦️","9♣️, 2♠️",P
"2♥️, 4♦️","K♦️, 4♣️, 8♣️",P
"7♥️, 4♦️, J♥️","7♥️, 9♥️",B
"2♦️, 4♦️","A♦️, 2♣️, 8♣️",P
"8♦️, Q♥️","5♦️, 9♥️",P
"2♥️, A♠️, J♦️","4♠️, 10♥️",B
"9♥️, 10♥️","5♠️, 8♣️",P
"10♦️, K♠️, 3♠️","9♣️, A♠️, K♣️",P
"3♥️, J♦️, 9♥️","10♠️, 5♥️",B
"5♠️, K♦️, 4♦️","Q♥️, 6♦️",P
"3♣️, J♦️, K♦️","5♠️, K♥️",B
"4♣️, Q♦️, 6♣️","7♦️, K♠️",B
"5♦️, 3♦️","9♠️, 6♦️",P
"A♠️, 4♠️, K♦️","2♣️, Q♣️, 10♠️",P
"9♠️, 5♠️","9♦️, 10♠️",B
"10♠️, J♥️","6♠️, 3♥️",B
"4♦️, K♠️, A♣️","7♣️, 8♦️",T
"K♦️, 7♠️","9♣️, K♦️",B
"9♠️, J♦️","5♣️, 5♠️",P
"4♦️, 4♥️","Q♦️, A♣️",P
"8♠️, J♦️","J♠️, 7♦️",P
"A♣️, Q♠️","2♦️, 6♣️",B
"7♥️, 10♣️","J♥️, 10♥️, 5♦️",P
"K♣️, 2♥️","8♥️, 10♠️",B
"5♣️, J♠️","J♣️, 8♣️",B
"K♥️, 10♠️, 2♣️","3♥️, 9♠️, 10♦️",T
"5♥️, 6♣️","10♠️, 8♠️",B
"9♦️, Q♦️","Q♠️, J♠️",P
"10♦️, 3♥️, 10♥️","Q♦️, 4♠️",B
"8♦️, 3♥️, 5♦️","8♣️, 2♠️, 8♣️",B
"K♦️, 4♦️, 10♣️","9♥️, 3♥️, 3♠️",B
"2♣️, 3♥️, Q♠️","K♣️, 4♠️",P
"A♦️, 10♥️, 3♥️","8♠️, 3♣️, 2♥️",P
"K♥️, 4♥️","9♥️, 10♠️",B
"2♥️, K♥️, 3♠️","3♦️, A♣️, J♣️",P
"3♦️, K♥️, 9♦️","8♠️, 5♦️, J♣️",B
"K♦️, 6♦️","3♦️, J♠️, 6♦️",B
"7♦️, K♠️","6♦️, 9♦️, 2♥️",T
"10♦️, K♣️, J♦️","10♦️, 7♠️",B
"A♠️, 6♥️","8♠️, J♥️",B
"5♠️, 8♣️, 5♣️","9♠️, A♥️, 8♣️",T
"J♣️, J♦️, 6♠️","5♥️, 7♣️, K♠️",P
"A♥️, Q♣️","A♥️, 7♥️",B
"8♥️, 2♣️, 8♠️","A♥️, 9♣️, A♠️",P
"3♣️, 9♠️, 6♠️","4♠️, A♦️, Q♣️",P
"10♠️, A♠️","10♠️, 8♦️",B
"5♦️, 10♠️, 10♠️","7♦️, 5♣️, Q♥️",P
"10♥️, Q♦️, Q♦️","6♣️, 7♥️, 5♠️",B
"Q♥️, J♥️, 8♣️","3♥️, A♦️",P
"Q♣️, 3♦️, 6♠️","6♠️, 4♥️, 9♠️",T
"Q♠️, K♣️, 8♥️","4♦️, K♥️",P
"4♠️, 2♠️","9♦️, 8♠️",B
"7♠️, 10♦️","Q♣️, 5♦️, 3♦️",B
"3♥️, J♠️, 3♣️","6♠️, K♦️",T
"10♥️, K♦️, 10♣️","4♦️, K♦️",B
"5♣️, 8♥️, 2♣️","4♥️, Q♥️, 8♦️",P
"7♣️, A♥️","6♥️, 3♦️",T
"7♦️, 4♣️, Q♥️","5♥️, 6♦️, 8♥️",B
"10♠️, 3♥️, 10♠️","5♥️, Q♦️",B
"K♦️, 8♠️","9♠️, 10♠️",T
"5♣️, 3♦️","5♠️, 9♦️",P
